0,0,default
1,1,Suite
1,2,Economy
1,3,Deluxe
1,4,Economy
1,5,Suite
1,6,Economy
1,7,Deluxe
1,8,Economy
1,9,Suite
1,10,Economy
2,1,Suite
2,2,Economy
2,3,Deluxe
2,4,Economy
2,5,Suite
2,6,Economy
2,7,Deluxe
2,8,Economy
2,9,Suite
2,10,Economy
3,1,Suite
3,2,Economy
3,3,Deluxe
3,4,Economy
3,5,Suite
3,6,Economy
3,7,Deluxe
3,8,Economy
3,9,Suite
3,10,Economy
4,1,Suite
4,2,Economy
4,3,Deluxe
4,4,Economy
4,5,Suite
4,6,Economy
4,7,Deluxe
4,8,Economy
4,9,Suite
4,10,Economy
5,1,Suite
5,2,Economy
5,3,Deluxe
5,4,Economy
5,5,Suite
5,6,Economy
5,7,Deluxe
5,8,Economy
5,9,Suite
5,10,Economy
6,1,Suite
6,2,Economy
6,3,Deluxe
6,4,Economy
6,5,Suite
6,6,Economy
6,7,Deluxe
6,8,Economy
6,9,Suite
6,10,Economy
7,1,Suite
7,2,Economy
7,3,Deluxe
7,4,Economy
7,5,Suite
7,6,Economy
7,7,Deluxe
7,8,Economy
7,9,Suite
7,10,Economy
8,1,Suite
8,2,Economy
8,3,Deluxe
8,4,Economy
8,5,Suite
8,6,Economy
8,7,Deluxe
8,8,Economy
8,9,Suite
8,10,Economy
9,1,Suite
9,2,Economy
9,3,Deluxe
9,4,Economy
9,5,Suite
9,6,Economy
9,7,Deluxe
9,8,Economy
9,9,Suite
9,10,Economy
10,1,Suite
10,2,Economy
10,3,Deluxe
10,4,Economy
10,5,Suite
10,6,Economy
10,7,Deluxe
10,8,Economy
10,9,Suite
10,10,Economy
11,1,Suite
11,2,Economy
11,3,Deluxe
11,4,Economy
11,5,Suite
11,6,Economy
11,7,Deluxe
11,8,Economy
11,9,Suite
11,10,Economy
12,1,Suite
12,2,Economy
12,3,Deluxe
12,4,Economy
12,5,Suite
12,6,Economy
12,7,Deluxe
12,8,Economy
12,9,Suite
12,10,Economy
13,1,Suite
13,2,Economy
13,3,Deluxe
13,4,Economy
13,5,Suite
13,6,Economy
13,7,Deluxe
13,8,Economy
13,9,Suite
13,10,Economy
14,1,Suite
14,2,Economy
14,3,Deluxe
14,4,Economy
14,5,Suite
14,6,Economy
14,7,Deluxe
14,8,Economy
14,9,Suite
14,10,Economy
15,1,Suite
15,2,Economy
15,3,Deluxe
15,4,Economy
15,5,Suite
15,6,Economy
15,7,Deluxe
15,8,Economy
15,9,Suite
15,10,Economy
16,1,Suite
16,2,Economy
16,3,Deluxe
16,4,Economy
16,5,Suite
16,6,Economy
16,7,Deluxe
16,8,Economy
16,9,Suite
16,10,Economy
17,1,Suite
17,2,Economy
17,3,Deluxe
17,4,Economy
17,5,Suite
17,6,Economy
17,7,Deluxe
17,8,Economy
17,9,Suite
17,10,Economy
18,1,Suite
18,2,Economy
18,3,Deluxe
18,4,Economy
18,5,Suite
18,6,Economy
18,7,Deluxe
18,8,Economy
18,9,Suite
18,10,Economy
19,1,Suite
19,2,Economy
19,3,Deluxe
19,4,Economy
19,5,Suite
19,6,Economy
19,7,Deluxe
19,8,Economy
19,9,Suite
19,10,Economy
20,1,Suite
20,2,Economy
20,3,Deluxe
20,4,Economy
20,5,Suite
20,6,Economy
20,7,Deluxe
20,8,Economy
20,9,Suite
20,10,Economy
21,1,Suite
21,2,Economy
21,3,Deluxe
21,4,Economy
21,5,Suite
21,6,Economy
21,7,Deluxe
