0,0,0,0,1/1/2000,default,Small
1,145,4,6,4/9/2015,rtal,Small
2,351,9,11,12/8/2009,vyva,Medium
3,751,2,16,5/27/2006,aeok,Medium
4,794,2,19,1/23/2014,xwoi,Small
5,292,6,1,2/28/2016,siki,Large
6,399,1,8,3/26/2013,rtgc,Large
7,266,5,4,1/14/2013,sidg,Small
8,58,1,9,6/8/2014,jxdl,Medium
9,272,6,10,9/2/2012,hdwh,Medium
10,636,2,7,7/17/2008,jkmp,Small
11,689,1,19,2/26/2016,jaqh,Large
12,346,6,1,5/1/2013,wqmg,Small
13,315,5,12,3/30/2008,ralj,Medium
14,83,6,4,12/1/2008,qcve,Small
15,126,1,15,3/26/2016,cdwu,Large
16,242,7,9,2/26/2008,ywbd,Small
17,716,7,13,6/9/2007,hrpu,Small
18,148,2,9,3/4/2007,uexw,Small
19,346,3,5,2/3/2018,uahk,Small
20,715,8,4,7/23/2012,kalb,Medium
21,578,7,1,5/2/2005,ethr,Large
22,385,2,5,10/25/2014,gpcp,Medium
23,445,3,1,2/16/2012,outt,Large
24,775,4,16,4/4/2014,ilcr,Large
25,476,8,1,2/11/2014,wvmq,Small
26,725,7,14,3/28/2017,xvvr,Medium
27,660,6,18,8/11/2006,gila,Large
28,920,5,2,6/26/2018,wfjy,Large
29,171,3,3,2/21/2006,kmgg,Medium
30,879,9,18,1/22/2018,ciys,Medium
31,125,7,9,4/14/2018,xpxj,Medium
32,781,5,17,5/8/2017,smxz,Small
33,368,2,12,4/3/2017,hqdj,Large
34,646,9,2,2/24/2011,fesu,Medium
35,412,2,14,12/20/2009,rpkx,Large
36,494,4,6,8/5/2007,twmq,Medium
37,373,4,17,11/11/2013,efip,Large
38,500,9,11,2/8/2014,yppm,Large
39,325,8,8,3/30/2010,qdbb,Small
40,755,3,18,8/27/2009,hqnc,Large
41,469,7,2,1/22/2017,hyhh,Large
42,372,4,2,8/13/2015,xvjw,Large
43,723,3,14,5/22/2013,pbba,Medium
44,713,8,15,9/13/2007,xkyu,Small
