0,0,0,0
1,3,1,4
2,5,1,3
3,8,2,7
4,10,2,8
5,13,3,4
6,15,3,8
7,18,4,9
8,20,4,8
9,23,5,9
10,25,5,4
11,28,6,8
12,30,6,4
13,33,7,2
14,35,7,3
15,38,8,8
16,40,8,7
17,43,9,1
18,45,9,4
19,48,10,9
20,50,10,1
21,53,11,3
22,55,11,3
23,58,12,5
24,60,12,5
25,63,13,8
26,65,13,9
27,68,14,3
28,70,14,7
29,73,15,7
30,75,15,2
31,78,16,7
32,80,16,6
33,83,17,3
34,85,17,2
35,88,18,8
36,90,18,1
37,93,19,8
38,95,19,3
39,98,20,4
40,100,20,3
41,103,21,5
42,105,21,5
43,108,22,9
44,110,22,8
45,113,23,5
46,115,23,2
47,118,24,6
48,120,24,4
49,123,25,7
50,125,25,6
51,128,26,5
52,130,26,3
53,133,27,5
54,135,27,6
55,138,28,4
56,140,28,8
57,143,29,5
58,145,29,1
59,148,30,4
60,150,30,7
61,153,31,6
62,155,31,7
63,158,32,6
64,160,32,6
65,163,33,6
66,165,33,3
67,168,34,2
68,170,34,5
69,173,35,4
70,175,35,1
71,178,36,7
72,180,36,9
73,183,37,4
74,185,37,2
75,188,38,6
76,190,38,7
77,193,39,1
78,195,39,1
79,198,40,3
80,200,40,8
81,203,41,2
82,205,41,4
83,208,42,9
84,210,42,6
85,213,43,6
86,215,43,2
87,218,44,6
88,220,44,5
89,223,45,6
90,225,45,3
91,228,46,6
92,230,46,3
93,233,47,8
94,235,47,8
95,238,48,3
96,240,48,2
97,243,49,4
98,245,49,4
99,248,50,5
100,250,50,1
101,253,51,2
102,255,51,7
103,258,52,7
104,260,52,7
105,263,53,6
106,265,53,2
107,268,54,6
108,270,54,7
109,273,55,4
110,275,55,7
111,278,56,5
112,280,56,8
113,283,57,7
114,285,57,8
115,288,58,7
116,290,58,8
117,293,59,9
118,295,59,6
119,298,60,4
120,300,60,1
121,303,61,4
122,305,61,3
123,308,62,8
124,310,62,1
125,313,63,1
126,315,63,2
127,318,64,1
128,320,64,7
129,323,65,3
130,325,65,5
131,328,66,7
132,330,66,8
133,333,67,8
134,335,67,6
135,338,68,8
136,340,68,2
137,343,69,4
138,345,69,4
139,348,70,4
140,350,70,2
141,353,71,3
142,355,71,9
143,358,72,7
144,360,72,2
145,363,73,8
146,365,73,9
147,368,74,9
148,370,74,3
149,373,75,3
150,375,75,2
151,378,76,3
152,380,76,6
153,383,77,7
154,385,77,2
155,388,78,5
156,390,78,7
157,393,79,1
158,395,79,9
159,398,80,4
160,400,80,6
161,403,81,5
162,405,81,8
163,408,82,2
164,410,82,3
165,413,83,1
166,415,83,8
167,418,84,4
168,420,84,1
169,423,85,4
170,425,85,3
171,428,86,6
172,430,86,6
173,433,87,8
174,435,87,6
175,438,88,2
176,440,88,6
177,443,89,8
178,445,89,7
179,448,90,3
180,450,90,4
181,453,91,8
182,455,91,3
183,458,92,3
184,460,92,7
185,463,93,9
186,465,93,2
187,468,94,2
188,470,94,1
189,473,95,6
190,475,95,8
191,478,96,3
192,480,96,4
193,483,97,9
194,485,97,7
195,488,98,1
196,490,98,2
197,493,99,4
198,495,99,1
199,498,100,9
200,500,100,5
201,503,101,5
202,505,101,4
203,508,102,4
204,510,102,2
205,513,103,4
206,515,103,5
207,518,104,3
208,520,104,2
209,523,105,9
210,525,105,7
211,528,106,7
212,530,106,7
213,533,107,5
