0,0,0,0,1/1/2000,0,0
1,1,381,5,5/12/2015,1,1501
2,1,536,7,7/26/2016,2,1851
3,2,110,1,1/30/2002,3,859
4,2,902,5,9/8/2014,2,614
5,3,104,4,9/1/2016,3,1957
6,3,20,8,4/1/2011,1,1803
7,4,878,7,5/17/2002,3,1771
8,4,112,5,9/19/2011,3,1764
9,5,522,2,11/11/2015,1,1711
10,5,760,4,11/23/2010,2,1639
11,6,500,4,4/8/2006,3,1477
12,6,203,2,11/27/2010,2,853
13,7,981,5,5/25/2002,1,617
14,7,600,6,7/26/2015,1,738
15,8,606,7,3/17/2013,2,1833
16,8,801,2,8/6/2013,3,1987
17,9,977,3,1/10/2011,3,1887
18,9,108,6,10/13/2010,1,1607
19,10,261,5,10/11/2000,2,1848
20,10,468,5,8/29/2010,1,1826
21,11,812,3,3/27/2006,2,909
22,11,786,3,6/9/2015,2,572
23,12,769,7,4/14/2000,3,917
24,12,219,1,5/24/2017,2,897
25,13,260,5,1/23/2005,2,1377
26,13,764,1,9/1/2015,3,1480
27,14,102,7,2/25/2002,1,1140
28,14,744,9,4/20/2018,2,1270
29,15,725,8,6/25/2007,3,860
30,15,146,6,6/25/2016,3,1451
31,16,19,1,8/9/2013,2,1999
32,16,634,3,6/27/2012,2,1893
33,17,987,9,12/25/2014,2,1950
34,17,750,8,7/3/2010,3,1618
35,18,914,8,3/14/2015,2,825
36,18,521,2,1/19/2017,2,1581
37,19,234,3,9/2/2001,2,1686
38,19,276,3,4/1/2018,1,1886
39,20,729,7,9/13/2015,1,1231
40,20,4,4,5/15/2018,1,672
41,21,196,1,1/20/2005,2,1948
42,21,289,8,5/25/2011,3,1992
43,22,415,2,11/8/2009,1,964
44,22,555,8,11/8/2015,2,751
45,23,910,4,11/11/2018,2,1114
46,23,361,7,11/29/2010,1,1804
47,24,605,4,2/25/2002,1,938
48,24,17,1,5/25/2015,1,618
49,25,54,3,1/1/2011,2,535
50,25,264,8,10/4/2016,1,1026
51,26,950,7,9/29/2002,2,1381
52,26,292,8,11/22/2012,3,1113
53,27,748,9,4/7/2006,3,758
54,27,693,5,8/23/2013,1,848
55,28,593,1,7/2/2003,3,852
56,28,743,8,4/9/2010,1,1219
57,29,256,2,8/12/2000,3,592
58,29,837,6,5/8/2014,1,620
59,30,273,4,6/10/2001,2,1005
60,30,637,3,11/14/2015,2,1325
61,31,517,2,12/10/2010,3,1466
62,31,522,4,7/2/2010,1,1533
63,32,537,3,11/9/2009,2,1786
64,32,524,9,9/18/2011,1,1418
65,33,826,6,11/18/2005,2,1684
66,33,356,5,11/23/2011,3,804
67,34,929,9,7/9/2016,1,663
68,34,589,5,4/15/2017,2,998
69,35,791,8,12/2/2015,1,1797
70,35,875,4,2/12/2016,2,813
71,36,977,8,11/18/2014,2,1001
72,36,481,3,10/28/2018,1,1271
73,37,552,4,7/15/2003,2,1437
74,37,155,6,12/22/2017,3,1920
75,38,614,1,3/17/2018,2,563
76,38,357,3,10/24/2017,1,1487
77,39,4,9,5/12/2017,2,1851
78,39,193,6,3/6/2017,1,1319
79,40,611,6,5/4/2000,2,1708
80,40,354,1,8/8/2011,2,1019
81,41,705,4,4/3/2000,1,1481
82,41,599,9,10/22/2017,1,589
83,42,921,5,8/4/2011,1,1036
84,42,665,7,3/2/2010,1,1293
85,43,865,6,11/8/2003,2,1230
86,43,724,8,12/6/2017,1,880
87,44,291,6,3/29/2003,3,1523
88,44,695,8,11/17/2010,1,974
89,45,993,8,2/7/2001,3,1118
90,45,211,9,9/10/2015,3,1063
91,46,32,8,8/3/2001,3,513
92,46,260,7,1/19/2013,1,859
93,47,782,3,1/19/2018,1,743
94,47,444,7,12/4/2017,1,500
95,48,837,9,6/15/2016,1,1749
96,48,535,5,1/1/2014,1,1814
97,49,802,7,8/4/2016,2,1192
98,49,571,4,1/4/2017,1,672
99,50,681,2,3/19/2016,3,1345
100,50,581,8,8/29/2010,1,1261
101,51,645,6,5/9/2009,3,1170
102,51,753,8,12/26/2010,2,1907
103,52,566,6,5/12/2014,1,1411
104,52,717,1,11/28/2018,2,1652
105,53,306,3,7/5/2013,2,1234
106,53,479,4,9/13/2013,2,1200
107,54,214,9,4/22/2018,2,1186
108,54,162,1,11/5/2013,2,1391
109,55,459,5,2/18/2006,3,921
110,55,99,8,1/9/2014,3,1190
111,56,189,5,12/22/2011,3,1306
112,56,436,5,10/6/2012,3,1961
113,57,51,7,1/7/2001,1,1013
114,57,741,6,1/7/2018,2,1584
115,58,359,3,2/9/2013,2,845
116,58,347,2,6/20/2010,3,1460
117,59,364,4,12/21/2001,3,1765
118,59,242,2,5/26/2011,1,1988
119,60,792,8,1/2/2018,2,1873
120,60,292,9,9/13/2012,3,1543
121,61,258,7,3/8/2002,2,1530
122,61,269,2,5/6/2014,3,928
123,62,96,4,3/19/2008,1,767
124,62,189,2,8/24/2015,3,697
125,63,317,4,2/3/2005,3,1963
126,63,650,1,4/17/2010,1,1517
127,64,392,5,6/4/2013,1,723
128,64,17,4,10/4/2015,2,508
129,65,804,7,10/6/2005,1,708
130,65,98,5,12/10/2015,2,814
131,66,188,6,2/4/2015,2,1871
132,66,299,2,4/6/2017,2,1415
133,67,99,3,3/7/2008,3,1787
134,67,495,2,12/25/2013,2,1476
135,68,921,4,2/9/2018,1,1791
136,68,486,3,11/5/2012,1,1223
